category,ac,ife,idl,hca,ifs,cg,ius,isd,idw,clq,gmi,its
Newsletter,5,0,0,0,0.0,0.9333333333333333,1,2,0,257.14285714285717,0.4076530612244898,0
Phishing,0,5,5,0,8.947368421052632,1.4285714285714286,0,0,1,4000.0,0.5,0
Unknown,0,5,0,0,2.3809523809523814,0.6785714285714286,2,2,0,800.0,1.125,0
Spam,0,5,5,0,3.5294117647058822,0.6857142857142857,0,0,1,100.0,0.7000000000000001,0
Phishing,0,5,0,0,5.6521739130434785,0.8636363636363636,0,0,1,2253.846153846154,0.09102564102564102,0
Fraud,0,5,5,0,7.142857142857143,0.5885714285714285,0,0,1,125.0,0.1,0
Business,0,5,0,0,0.0,1.2333333333333334,0,0,1,350.0,0.0,0
Phishing,0,5,5,0,5.625,0.3333333333333333,4,0,1,450.0,0.64375,0
Fraud,0,5,5,0,5.6521739130434785,0.36363636363636365,0,0,1,200.0,0.0,0
Phishing,0,5,5,0,7.5,0.36363636363636365,0,0,1,1840.0,0.0,0
Fraud,0,0,5,0,1.1111111111111116,0.46153846153846156,0,0,1,485.7142857142857,0.3196428571428571,0
Business,0,0,0,0,0,1.0153846153846153,0,2,0,883.3333333333334,0.041666666666666664,0
Sextortion,0,5,0,10,9.0,0.7666666666666666,0,2,0,353.84615384615387,0.2929487179487179,0
Phishing,0,5,0,0,0.7692307692307687,0.5,2,2,0,100.0,0.6280618686868688,0
Phishing,0,5,0,0,7.0,0.5,0,0,1,2050.0,0.08452380952380953,0
Sextortion,5,5,5,10,7.241379310344827,1.2380952380952381,0,0,0,492.8571428571429,0.0023809523809523924,0
Phishing,0,5,0,0,0.0,0.3333333333333333,2,0,0,100.0,0.0,0
Fraud,0,5,5,0,7.0,0.42857142857142855,0,2,1,340.0,0.2,0
Fraud,0,5,0,0,0,1.0153846153846153,0,2,0,883.3333333333334,0.041666666666666664,1
